,px,py,vx,vy,a,r
0,31.958406539045455,89.30978989874528,1.6031587100570626,2.504876205940409,0.0,1.0
1,5.498947207225991,14.407213575992671,2.555770549029417,-4.733485136504251,0.0,2.0
2,40.9894272209289,5.849164334563338,-4.03871913338225,1.5737661886717413,0.0,1.0
3,74.77416025871264,74.09460208214092,3.9751103835101276,2.1779198427288238,0.0,1.0
4,81.45522163773008,4.628277138141909,-0.9537520257230305,-1.1762483036389404,0.0,3.0
5,88.13077527950826,10.082654629516426,-2.924455081746343,2.7128218734124854,0.0,1.0
6,79.44576199025329,72.50729365625618,2.0033440332517207,-4.4374994646841595,0.0,2.0
7,15.701472828438597,27.038566224541842,-4.654312243469507,-1.33491491716353,0.0,3.0
8,40.03742907821947,60.594795889377636,3.507828451538897,4.464967503868369,0.0,2.0
9,29.372013371351322,74.24419383176725,0.10009328377168458,-4.508288655130201,0.0,2.0
