,px,py,vx,vy,a,r
0,65.54450183348703,84.95445836206571,3.9642444390694394,-4.403573162322234,0.0,3.0
1,34.20069426503297,15.19347517402327,-3.74613826389281,4.44687078264097,0.0,3.0
2,60.423664347575574,77.99424186021119,1.587413955387941,2.0470951785982887,0.0,2.0
3,93.80427521278476,30.985792066694145,-0.6426511572341056,2.044622068300738,0.0,3.0
4,8.235876959220873,89.90164137538164,2.4105005734304896,-1.784885451107483,0.0,3.0
5,4.825803205727137,89.06439878550015,-3.85586247637254,-0.8592003554637806,0.0,3.0
6,7.833242526940001,24.88013867120296,-2.975636333578584,3.7697966842544943,0.0,3.0
7,21.431528252595047,48.138005057314636,4.223861927588796,-4.349852178346763,0.0,3.0
8,87.21732638933022,41.18241180533874,-4.619319105561495,1.5168034552212974,0.0,3.0
9,46.27653035431815,56.601226622984946,-4.3093081889800615,-0.9947629396142732,0.0,3.0
